,roi,weight,network,weight_th
70,7Networks_LH_DorsAttn_Post_3,0.15302124029960112,DorsAttn,0
71,7Networks_LH_DorsAttn_Post_4,0.16132201536085625,DorsAttn,0
72,7Networks_LH_DorsAttn_Post_5,0.8785595274728969,DorsAttn,0
73,7Networks_LH_DorsAttn_Post_6,-1.1224970506124814,DorsAttn,0
74,7Networks_LH_DorsAttn_Post_7,-0.259352784048091,DorsAttn,0
75,7Networks_LH_DorsAttn_Post_8,0.35776830968112444,DorsAttn,0
76,7Networks_LH_DorsAttn_Post_9,-0.23561724225706573,DorsAttn,0
77,7Networks_LH_DorsAttn_Post_10,0.57087378383121,DorsAttn,0
78,7Networks_LH_DorsAttn_Post_11,3.0939706287692785,DorsAttn,1
79,7Networks_LH_DorsAttn_Post_12,0.39589501994867854,DorsAttn,0
80,7Networks_LH_DorsAttn_Post_13,-0.4629079739290056,DorsAttn,0
81,7Networks_LH_DorsAttn_Post_14,2.1636911362955833,DorsAttn,0
82,7Networks_LH_DorsAttn_Post_15,0.2115551747296446,DorsAttn,0
83,7Networks_LH_DorsAttn_Post_16,0.5864738145378766,DorsAttn,0
84,7Networks_LH_DorsAttn_Post_17,2.6638399594771043,DorsAttn,0
85,7Networks_LH_DorsAttn_FEF_1,-0.8636350399500571,DorsAttn,0
86,7Networks_LH_DorsAttn_FEF_2,0.024285953643658924,DorsAttn,0
87,7Networks_LH_DorsAttn_FEF_3,-1.4029277392419623,DorsAttn,0
88,7Networks_LH_DorsAttn_FEF_4,-0.8412003702267099,DorsAttn,0
89,7Networks_LH_DorsAttn_PrCv_1,0.4496849544383917,DorsAttn,0
90,7Networks_LH_DorsAttn_PrCv_2,-1.4155021006043607,DorsAttn,0
91,7Networks_LH_SalVentAttn_ParOper_1,0.43696863954203413,SalVentAttn,0
92,7Networks_LH_SalVentAttn_ParOper_2,-1.3826060324729086,SalVentAttn,0
93,7Networks_LH_SalVentAttn_ParOper_3,-1.113551044485142,SalVentAttn,0
94,7Networks_LH_SalVentAttn_ParOper_4,0.3667427875119487,SalVentAttn,0
95,7Networks_LH_SalVentAttn_TempOcc_1,0.8101059215351373,SalVentAttn,0
96,7Networks_LH_SalVentAttn_FrOperIns_1,-1.6426831725667097,SalVentAttn,0
97,7Networks_LH_SalVentAttn_FrOperIns_2,-0.15547146215282945,SalVentAttn,0
